  l  lp m  mp k  ck 
  2  3 -1 -1  5  -1.810952438385E-01
  2  3 -1  0  1  -2.927700218846E-01
  2  3 -1  0  3   7.968190728896E-02
  2  3 -1  0  5   2.290693775813E-01
  2  3 -1  1  3  -2.182178902360E-01
  2  3 -1  1  5  -2.624319405407E-01
  2  3 -1  2  3   2.817180849095E-01
  2  3 -1  2  5   2.710385427272E-01
  2  3 -1  3  5  -2.347262634065E-01
  2  3  0 -3  3   2.817180849095E-01
  2  3  0 -3  5  -1.355192713636E-01
  2  3  0 -2  3  -0.000000000000E+00
  2  3  0 -2  5   2.032789070454E-01
  2  3  0 -1  1  -4.140393356054E-01
  2  3  0 -1  3  -1.690308509457E-01
  2  3  0 -1  5  -2.429647653749E-01
  2  3  0  0  1   5.070925528371E-01
  2  3  0  0  3   2.253744679276E-01
  2  3  0  0  5   2.561073499177E-01
  2  3  0  1  1  -4.140393356054E-01
  2  3  0  1  3  -1.690308509457E-01
  2  3  0  1  5  -2.429647653749E-01
  2  3  0  2  3  -0.000000000000E+00
  2  3  0  2  5   2.032789070454E-01
  2  3  0  3  3   2.817180849095E-01
  2  3  0  3  5  -1.355192713636E-01
  2  3  1 -3  5  -2.347262634065E-01
  2  3  1 -2  3   2.817180849095E-01
  2  3  1 -2  5   2.710385427272E-01
  2  3  1 -1  3  -2.182178902360E-01
  2  3  1 -1  5  -2.624319405407E-01
  2  3  1  0  1  -2.927700218846E-01
  2  3  1  0  3   7.968190728896E-02
  2  3  1  0  5   2.290693775813E-01
  2  3  1  1  1   4.780914437338E-01
  2  3  1  1  3   7.968190728896E-02
  2  3  1  1  5  -1.810952438385E-01
  2  3  1  2  1  -5.345224838248E-01
  2  3  1  2  3  -2.182178902360E-01
  2  3  1  2  5   1.254664653350E-01
  2  3  1  3  3   2.817180849095E-01
  2  3  1  3  5  -6.775963568181E-02
  2  3  2 -3  5  -3.711348095126E-01
  2  3  2 -2  5   2.874797872880E-01
  2  3  2 -1  3   1.781741612749E-01
  2  3  2 -1  5  -2.142747821777E-01
  2  3  2  0  3  -2.519763153395E-01
  2  3  2  0  5   1.515151515152E-01
  2  3  2  1  1  -1.690308509457E-01
  2  3  2  1  3   2.760262237369E-01
  2  3  2  1  5  -9.918995010727E-02
  2  3  2  2  1   3.779644730092E-01
  2  3  2  2  3  -2.519763153395E-01
  2  3  2  2  5   5.726734439534E-02
  2  3  2  3  1  -6.546536707080E-01
  2  3  2  3  3   1.781741612749E-01
  2  3  2  3  5  -2.561073499177E-02
  3  0 -3  0  3   3.779644730092E-01
  3  0 -2  0  3   3.779644730092E-01
  3  0 -1  0  3   3.779644730092E-01
  3  0  0  0  3   3.779644730092E-01
  3  0  1  0  3   3.779644730092E-01
  3  0  2  0  3   3.779644730092E-01
  3  0  3  0  3   3.779644730092E-01
  3  1 -3 -1  2   5.070925528371E-01
  3  1 -3 -1  4  -7.273929674533E-02
  3  1 -3  0  4   1.924500897299E-01
  3  1 -3  1  4  -3.849001794598E-01
  3  1 -2 -1  2   4.140393356054E-01
  3  1 -2 -1  4  -1.259881576697E-01
  3  1 -2  0  2   2.927700218846E-01
  3  1 -2  0  4   2.519763153395E-01
  3  1 -2  1  4  -3.333333333333E-01
  3  1 -1 -1  2   3.207134902949E-01
  3  1 -1 -1  4  -1.781741612749E-01
  3  1 -1  0  2   3.703280399090E-01
  3  1 -1  0  4   2.817180849095E-01
  3  1 -1  1  2   1.309307341416E-01
  3  1 -1  1  4  -2.817180849095E-01
  3  1  0 -1  2   2.267786838055E-01
  3  1  0 -1  4  -2.300218531141E-01
  3  1  0  0  2   3.927922024248E-01
  3  1  0  0  4   2.909571869813E-01
  3  1  0  1  2   2.267786838055E-01
  3  1  0  1  4  -2.300218531141E-01
  3  1  1 -1  2   1.309307341416E-01
  3  1  1 -1  4  -2.817180849095E-01
  3  1  1  0  2   3.703280399090E-01
  3  1  1  0  4   2.817180849095E-01
  3  1  1  1  2   3.207134902949E-01
  3  1  1  1  4  -1.781741612749E-01
  3  1  2 -1  4  -3.333333333333E-01
  3  1  2  0  2   2.927700218846E-01
  3  1  2  0  4   2.519763153395E-01
  3  1  2  1  2   4.140393356054E-01
  3  1  2  1  4  -1.259881576697E-01
  3  1  3 -1  4  -3.849001794598E-01
  3  1  3  0  4   1.924500897299E-01
  3  1  3  1  2   5.070925528371E-01
  3  1  3  1  4  -7.273929674533E-02
  3  2 -3 -2  1   6.546536707080E-01
  3  2 -3 -2  3  -1.781741612749E-01
  3  2 -3 -2  5   2.561073499177E-02
  3  2 -3 -1  3   2.817180849095E-01
  3  2 -3 -1  5  -6.775963568181E-02
  3  2 -3  0  3  -2.817180849095E-01
  3  2 -3  0  5   1.355192713636E-01
  3  2 -3  1  5  -2.347262634065E-01
  3  2 -3  2  5   3.711348095126E-01
  3  2 -2 -2  1   3.779644730092E-01
  3  2 -2 -2  3  -2.519763153395E-01
  3  2 -2 -2  5   5.726734439534E-02
  3  2 -2 -1  1   5.345224838248E-01
  3  2 -2 -1  3   2.182178902360E-01
  3  2 -2 -1  5  -1.254664653350E-01
  3  2 -2  0  3  -0.000000000000E+00
  3  2 -2  0  5   2.032789070454E-01
  3  2 -2  1  3  -2.817180849095E-01
  3  2 -2  1  5  -2.710385427272E-01
  3  2 -2  2  5   2.874797872880E-01
  3  2 -1 -2  1   1.690308509457E-01
  3  2 -1 -2  3  -2.760262237369E-01
  3  2 -1 -2  5   9.918995010727E-02
  3  2 -1 -1  1   4.780914437338E-01
  3  2 -1 -1  3   7.968190728896E-02
  3  2 -1 -1  5  -1.810952438385E-01
  3  2 -1  0  1   4.140393356054E-01
  3  2 -1  0  3   1.690308509457E-01
  3  2 -1  0  5   2.429647653749E-01
  3  2 -1  1  3  -2.182178902360E-01
  3  2 -1  1  5  -2.624319405407E-01
  3  2 -1  2  3  -1.781741612749E-01
  3  2 -1  2  5   2.142747821777E-01
  3  2  0 -2  3  -2.519763153395E-01
  3  2  0 -2  5   1.515151515152E-01
  3  2  0 -1  1   2.927700218846E-01
  3  2  0 -1  3  -7.968190728896E-02
  3  2  0 -1  5  -2.290693775813E-01
  3  2  0  0  1   5.070925528371E-01
  3  2  0  0  3   2.253744679276E-01
  3  2  0  0  5   2.561073499177E-01
  3  2  0  1  1   2.927700218846E-01
  3  2  0  1  3  -7.968190728896E-02
  3  2  0  1  5  -2.290693775813E-01
  3  2  0  2  3  -2.519763153395E-01
  3  2  0  2  5   1.515151515152E-01
  3  2  1 -2  3  -1.781741612749E-01
  3  2  1 -2  5   2.142747821777E-01
  3  2  1 -1  3  -2.182178902360E-01
  3  2  1 -1  5  -2.624319405407E-01
  3  2  1  0  1   4.140393356054E-01
  3  2  1  0  3   1.690308509457E-01
  3  2  1  0  5   2.429647653749E-01
  3  2  1  1  1   4.780914437338E-01
  3  2  1  1  3   7.968190728896E-02
  3  2  1  1  5  -1.810952438385E-01
  3  2  1  2  1   1.690308509457E-01
  3  2  1  2  3  -2.760262237369E-01
  3  2  1  2  5   9.918995010727E-02
  3  2  2 -2  5   2.874797872880E-01
  3  2  2 -1  3  -2.817180849095E-01
  3  2  2 -1  5  -2.710385427272E-01
  3  2  2  0  3  -0.000000000000E+00
  3  2  2  0  5   2.032789070454E-01
  3  2  2  1  1   5.345224838248E-01
  3  2  2  1  3   2.182178902360E-01
  3  2  2  1  5  -1.254664653350E-01
  3  2  2  2  1   3.779644730092E-01
  3  2  2  2  3  -2.519763153395E-01
  3  2  2  2  5   5.726734439534E-02
  3  2  3 -2  5   3.711348095126E-01
  3  2  3 -1  5  -2.347262634065E-01
  3  2  3  0  3  -2.817180849095E-01
  3  2  3  0  5   1.355192713636E-01
  3  2  3  1  3   2.817180849095E-01
  3  2  3  1  5  -6.775963568181E-02
  3  2  3  2  1   6.546536707080E-01
  3  2  3  2  3  -1.781741612749E-01
  3  2  3  2  5   2.561073499177E-02
  3  3 -3 -3  0   1.000000000000E+00
  3  3 -3 -3  2  -3.333333333333E-01
  3  3 -3 -3  4   9.090909090909E-02
  3  3 -3 -3  6  -1.165501165501E-02
  3  3 -3 -2  2   3.333333333333E-01
  3  3 -3 -2  4  -1.659765325773E-01
  3  3 -3 -2  6   3.083626236672E-02
  3  3 -3 -1  2  -2.108185106779E-01
  3  3 -3 -1  4   2.226808857076E-01
  3  3 -3 -1  6  -6.167252473344E-02
  3  3 -3  0  4  -2.405228464604E-01
  3  3 -3  0  6   1.068199462694E-01
  3  3 -3  1  4   1.963860817699E-01
  3  3 -3  1  6  -1.688971648740E-01
  3  3 -3  2  6   2.505149797227E-01
  3  3 -3  3  6  -3.542816819014E-01
  3  3 -2 -3  2  -3.333333333333E-01
  3  3 -2 -3  4   1.659765325773E-01
  3  3 -2 -3  6  -3.083626236672E-02
